date,region,product,sales_amount,quantity,customer_count
2023-01-01,North,Product A,1099.3428306022465,55,19
2023-01-01,North,Product B,972.347139765763,52,31
2023-01-01,North,Product C,907.3164614375075,46,24
2023-01-01,North,Product D,906.8540492859486,52,22
2023-01-01,South,Product A,1293.1297537843109,43,26
2023-01-01,South,Product B,954.8447399026928,52,22
2023-01-01,South,Product C,879.6586775541206,40,21
2023-01-01,South,Product D,1370.4556369017876,46,26
2023-01-01,East,Product A,1147.6933159990822,38,13
2023-01-01,East,Product B,1034.2736562379941,48,30
2023-01-01,East,Product C,1068.7236579136923,41,29
2023-01-01,East,Product D,647.3919689274533,54,29
2023-01-01,West,Product A,832.1564953554723,59,22
2023-01-01,West,Product B,938.1575248297571,46,29
2023-01-01,West,Product C,985.5979756839332,40,29
2023-01-01,West,Product D,1200.706579578405,56,25
2023-01-02,North,Product A,1017.4094136476342,46,33
2023-01-02,North,Product B,940.1985299068265,48,21
2023-01-02,North,Product C,838.3012794213624,63,27
2023-01-02,North,Product D,899.6485912830926,57,32
2023-01-02,South,Product A,859.5893812245295,44,24
2023-01-02,South,Product B,934.4675706804463,40,35
2023-01-02,South,Product C,1377.237180242106,69,25
2023-01-02,South,Product D,1034.9155625663677,45,27
2023-01-02,East,Product A,961.5278070437755,41,28
2023-01-02,East,Product B,1060.3094684667226,44,23
2023-01-02,East,Product C,1117.371418760054,39,22
2023-01-02,East,Product D,1438.0911251619957,54,25
2023-01-02,West,Product A,787.539257254779,54,35
2023-01-02,West,Product B,1094.7184861270364,47,21
2023-01-02,West,Product C,1045.4919869208259,51,33
2023-01-02,West,Product D,1261.4285508564856,47,32
2023-01-03,North,Product A,863.9950556843019,52,17
2023-01-03,North,Product B,1046.4507394322006,51,27
2023-01-03,North,Product C,805.0636659545357,46,27
2023-01-03,North,Product D,1157.4169207484904,53,17
2023-01-03,South,Product A,822.0971140748953,60,30
2023-01-03,South,Product B,836.8379430069124,52,20
2023-01-03,South,Product C,785.8215003877775,62,24
2023-01-03,South,Product D,1096.494483048637,45,31
2023-01-03,East,Product A,1042.8187488260407,64,26
2023-01-03,East,Product B,750.8522442576024,41,32
2023-01-03,East,Product C,1216.6102486350553,47,25
2023-01-03,East,Product D,1210.7604104069806,57,28
2023-01-03,West,Product A,936.9461510719309,47,26
2023-01-03,West,Product B,1151.7938440986536,49,22
2023-01-03,West,Product C,905.6136268421133,41,29
2023-01-03,West,Product D,1217.790119393473,53,14
2023-01-04,North,Product A,1428.788817865065,50,30
2023-01-04,North,Product B,1126.7838044636023,49,31
2023-01-04,North,Product C,759.9407185888448,42,26
2023-01-04,North,Product D,933.0997528318103,53,26
2023-01-04,South,Product A,696.1260068091973,47,13
2023-01-04,South,Product B,903.1531854267497,59,25
2023-01-04,South,Product C,351.74653198618546,42,23
2023-01-04,South,Product D,795.122471733142,53,23
2023-01-04,East,Product A,1232.632750430992,53,16
2023-01-04,East,Product B,1002.0466122039174,64,23
2023-01-04,East,Product C,1426.6066749312533,64,20
2023-01-04,East,Product D,609.5824400954996,39,17
2023-01-04,West,Product A,958.375549928545,58,30
2023-01-04,West,Product B,901.3998130682335,40,27
2023-01-04,West,Product C,1162.572423767792,45,23
2023-01-04,West,Product D,1125.9257683847225,47,31
2023-01-05,North,Product A,1165.083269797606,50,22
2023-01-05,North,Product B,1162.7019272001278,48,33
2023-01-05,North,Product C,1064.8332704976883,66,27
2023-01-05,North,Product D,973.9713891264631,45,28
2023-01-05,South,Product A,1124.8239634104311,39,15
2023-01-05,South,Product B,1125.6691018528559,49,23
2023-01-05,South,Product C,1082.5862908551248,52,17
2023-01-05,South,Product D,887.255089439205,54,23
2023-01-05,East,Product A,856.3111557495129,56,24
2023-01-05,East,Product B,957.3105696576306,40,15
2023-01-05,East,Product C,1064.543712067618,55,38
2023-01-05,East,Product D,834.5538112895354,45,16
2023-01-05,West,Product A,1004.9020348517886,53,24
2023-01-05,West,Product B,1099.59965824909,52,13
2023-01-05,West,Product C,1437.9605866435345,45,24
2023-01-05,West,Product D,838.3403429289697,52,28
2023-01-06,North,Product A,1190.08476763721,54,33
2023-01-06,North,Product B,884.6192688675194,52,34
2023-01-06,North,Product C,1235.8880241442573,52,31
2023-01-06,North,Product D,906.1648695790591,48,31
2023-01-06,South,Product A,786.4759141234811,67,21
2023-01-06,South,Product B,971.5241029957413,52,18
2023-01-06,South,Product C,1310.2303951045046,50,26
2023-01-06,South,Product D,1023.1349268585717,60,18
2023-01-06,East,Product A,1129.0751899170295,54,19
2023-01-06,East,Product B,1273.7263115064698,47,23
2023-01-06,East,Product C,946.1186331110885,50,23
2023-01-06,East,Product D,1143.5084511591924,50,25
2023-01-06,West,Product A,739.1060998990293,37,18
2023-01-06,West,Product B,1133.9345097660077,41,20
2023-01-06,West,Product C,987.4641805453656,53,20
2023-01-06,West,Product D,1191.0284641002477,42,20
2023-01-07,North,Product A,978.5939280090885,43,25
2023-01-07,North,Product B,792.9515355161252,53,15
2023-01-07,North,Product C,1122.8333400086851,43,23
2023-01-07,North,Product D,1151.501542009461,52,24
2023-01-07,South,Product A,1115.3113926111532,50,18
2023-01-07,South,Product B,1062.2500309087072,51,21
2023-01-07,South,Product C,870.6854231514947,52,30
2023-01-07,South,Product D,783.6903992771211,38,26
2023-01-07,East,Product A,792.5507691347087,45,27
2023-01-07,East,Product B,961.9322643832784,52,17
2023-01-07,East,Product C,869.8714861756346,43,16
2023-01-07,East,Product D,902.5749232470608,40,30
2023-01-07,West,Product A,1100.1834375248761,63,26
2023-01-07,West,Product B,804.4889510402897,56,22
2023-01-07,West,Product C,674.4915124233675,40,22
2023-01-07,West,Product D,1009.6169893322764,42,25
2023-01-08,North,Product A,827.9173269432096,46,21
2023-01-08,North,Product B,923.088891154035,56,25
2023-01-08,North,Product C,1115.414425436108,40,35
2023-01-08,North,Product D,959.3909227914014,51,19
2023-01-08,South,Product A,902.4787551855013,42,27
2023-01-08,South,Product B,913.4883624360758,47,23
2023-01-08,South,Product C,592.3750929644292,49,29
2023-01-08,South,Product D,798.3827378165192,44,23
2023-01-08,East,Product A,1047.1229116217132,53,19
2023-01-08,East,Product B,1154.1730387773935,52,32
2023-01-08,East,Product C,908.1278200919512,44,23
2023-01-08,East,Product D,830.0311261070417,40,18
2023-01-08,West,Product A,911.1413479847777,44,28
2023-01-08,West,Product B,1075.4600986089704,54,21
2023-01-08,West,Product C,644.2559502191443,49,19
2023-01-08,West,Product D,1299.2088622978367,50,34
2023-01-09,North,Product A,1096.2018463473426,54,26
2023-01-09,North,Product B,1044.7768048558262,48,24
2023-01-09,North,Product C,1011.1449824577389,52,14
2023-01-09,North,Product D,1218.8383036941898,57,22
2023-01-09,South,Product A,1164.6341167923829,47,29
2023-01-09,South,Product B,1014.6635934376808,44,19
2023-01-09,South,Product C,460.6226714116857,62,26
2023-01-09,South,Product D,989.1410266964375,41,25
2023-01-09,East,Product A,1002.7858583825893,43,26
2023-01-09,East,Product B,995.1749825779993,56,25
2023-01-09,East,Product C,1249.2170384995259,42,23
2023-01-09,East,Product D,585.32195351837,53,28
2023-01-09,West,Product A,1144.334412808647,57,27
2023-01-09,West,Product B,774.1896457565542,39,28
2023-01-09,West,Product C,927.806766836184,54,22
2023-01-09,West,Product D,1231.8659606728497,43,20
2023-01-10,North,Product A,1184.8054038413802,57,21
2023-01-10,North,Product B,963.0195727114021,52,27
2023-01-10,North,Product C,583.6141184232556,56,31
2023-01-10,North,Product D,1339.2912736580076,60,24
2023-01-10,South,Product A,1061.5603537784118,53,19
2023-01-10,South,Product B,657.9663214686749,42,18
2023-01-10,South,Product C,1081.6505511428943,53,20
2023-01-10,South,Product D,659.4832791524319,59,26
2023-01-10,East,Product A,631.825153733671,50,19
2023-01-10,East,Product B,744.0846066528597,38,21
2023-01-10,East,Product C,815.3533507778192,55,26
2023-01-10,East,Product D,729.6630788767333,53,29
2023-01-10,West,Product A,884.8724347524452,50,22
