month,total_revenue,orders_count,avg_order_value,new_customers,returning_customers
2023-01-01,45000.0,150,300.0,45,105
2023-02-01,52000.0,173,300.58,38,135
2023-03-01,48000.0,160,300.0,42,118
2023-04-01,61000.0,203,300.49,55,148
2023-05-01,58000.0,193,300.52,48,145
2023-06-01,65000.0,217,299.54,62,155
2023-07-01,71000.0,237,299.58,68,169
2023-08-01,69000.0,230,300.0,59,171
2023-09-01,74000.0,247,299.59,71,176
2023-10-01,78000.0,260,300.0,75,185
2023-11-01,85000.0,283,300.35,82,201
2023-12-01,92000.0,307,299.67,89,218
